edgeLabel,locationA,locationB,actualDistance,Contributer,Notes
GallupNM_tofrom_AlbuquerqueNM,GallupNM,AlbuquerqueNM,138,IT,
GallupNM_tofrom_FlagstaffAZ,GallupNM,FlagstaffAZ,185,IT,
PhoenixAZ_tofrom_FlagstaffAZ,PhoenixAZ,FlagstaffAZ,144,IT,
FlagstaffAZ_tofrom_KingmanAZ,FlagstaffAZ,KingmanAZ,147,IT,
AlbuquerqueNM_tofrom_DemingNM,AlbuquerqueNM,DemingNM,234,IT,
BakersfieldCA_tofrom_BarstowCA,BakersfieldCA,BarstowCA,131,IT,
LosAngelesCA_tofrom_BakersfieldCA,LosAngelesCA,BakersfieldCA,111,IT,
BakersfieldCA_tofrom_FresnoCA,BakersfieldCA,FresnoCA,109,IT,
DenverCO_tofrom_AspenCO,DenverCO,AspenCO,159,IT,
AspenCO_tofrom_GrandJunctionCO,AspenCO,GrandJunctionCO,128,IT,
SaltLakeCityUT_tofrom_GrandJunctionCO,SaltLakeCityUT,GrandJunctionCO,284,IT,
CedarCityUT_tofrom_GrandJunctionCO,CedarCityUT,GrandJunctionCO,338,IT,
SaltLakeCityUT_tofrom_CedarCityUT,SaltLakeCityUT,CedarCityUT,252,IT,
LasVegasNV_tofrom_CedarCityUT,LasVegasNV,CedarCityUT,170,IT,
SaltLakeCityUT_tofrom_ElkoNV,SaltLakeCityUT,ElkoNV,230,IT,
ElkoNV_tofrom_WinnemuccaNV,ElkoNV,WinnemuccaNV,124,IT,
WinnemuccaNV_tofrom_RenoNV,WinnemuccaNV,RenoNV,165,IT,
RenoNV_tofrom_SacramentoCA,RenoNV,SacramentoCA,132,IT,
RenoNV_tofrom_SouthLakeTahoeCA,RenoNV,SouthLakeTahoeCA,61.4,IT,
SouthLakeTahoeCA_tofrom_SacramentoCA,SouthLakeTahoeCA,SacramentoCA,103,IT,
FresnoCA_tofrom_SanJoseCA,FresnoCA,SanJoseCA,150,IT,
SacramentoCA_tofrom_FresnoCA,SacramentoCA,FresnoCA,169,IT,
SacramentoCA_tofrom_ReddingCA,SacramentoCA,ReddingCA,162,IT,
SanFranciscoCA_tofrom_SacramentoCA,SanFranciscoCA,SacramentoCA,87.9,IT,
ReddingCA_tofrom_MedfordOR,ReddingCA,MedfordOR,150,IT,
OrlandoFL_tofrom_TampaFL,OrlandoFL,TampaFL,84.2,IT,Id0
JacksonvilleFL_tofrom_TallahasseeFL,JacksonvilleFL,TallahasseeFL,164,IT,
JacksonMS_tofrom_TuscaloosaAL,JacksonMS,TuscaloosaAL,186,IT,
MemphisTN_tofrom_MetropolisIL,MemphisTN,MetropolisIL,206,IT,
MemphisTN_tofrom_MartinTN,MemphisTN,MartinTN,135,IT,
SanAntonioTX_tofrom_CorpusChristi,SanAntonioTX,CorpusChristiTX,144,IT,
SanAntonioTX_tofrom_AustinTX,SanAntonioTX,AustinTX,79.5,IT,
SanAntonioTX_tofrom_ArtesiaWellsTX,SanAntonioTX,ArtesiaWellsTX,114,IT,
DallasTX_tofrom_HoustonTX,DallasTX,HoustonTX,240,IT,
AlbuquerqueNM_tofrom_SantaRosaNM,AlbuquerqueNM,SantaRosaNM,118,IT,
AmarilloTX_tofrom_SantaRosaNM,AmarilloTX,SantaRosaNM,172,IT,
TallahasseeFL_tofrom_Blountstown,TallahasseeFL,BlountstownFL,48.5,IT,
AtlantaGA_tofrom_BirminghamAL,AtlantaGA,BirminghamAL,147,IT,
TuscaloosaAL_tofrom_BirminghamAL,TuscaloosaAL,BirminghamAL,57.7,IT,
JacksonMS_tofrom_ColumbusMS,JacksonMS,ColumbusMS,154,IT,
MountHollyNJ_tofrom_NewHavenCT_on_I-95N,MountHollyNJ,NewHavenCT,153,IT,
FayettevilleNC_tofrom_CharlotteNC_on_US-74W,FayettevilleNC,CharlotteNC,139,IT,
LexingtonKY_tofrom_HuntingtonWV_on_I64E,LexingtonKY,HuntingtonWV,126,IT,
CincinnatiOH_tofrom_HuntingtonWV_on_KY-9S,CincinnatiOH,HuntingtonWV,147,IT,
LouisvilleKY_tofrom_HuntingtonWV_on_I64E,LouisvilleKY,HuntingtonWV,197,IT,
HuntingtonWV_tofrom_FairmontWV_on_I64E_and_I79N,HuntingtonWV,FairmontWV,191,IT,
FairmontWV_tofrom_PittsburghPA_on_I79N,FairmontWV,PittsburghPA,91.4,IT,
ColumbusOH_tofrom_PittsburghPA_on_I70E,ColumbusOH,PittsburghPA,185,IT,
ClevelandOH_tofrom_PittsburghPA_on_I76,ClevelandOH,PittsburghPA,133,IT,
Cookeville_tofrom_Knoxville,CookevilleTN,KnoxvilleTN,102,IT,
Knoxville_tofrom_Gatlinburg,KnoxvilleTN,GatlinburgTN,43,IT,
Knoxville_tofrom_Athens,KnoxvilleTN,AthensTN,58,IT,
Athens_tofrom_Chattanooga,AthensTN,ChattanoogaTN,58,IT,
Nashville_tofrom_Athens,NashvilleTN,AthensTN,169,IT,
AshevilleNC_tofrom_GatlinburgTN,AshevilleNC,GatlinburgTN,81,IT,
AshevilleNC_tofrom_KnoxvilleTN_on_I40,AshevilleNC,KnoxvilleTN,116,IT,
AshevilleNC_tofrom_BooneNC_on_I40_and_US221,AshevilleNC,BooneNC,84,IT,
AshevilleNC_tofrom_CharlotteNC_on_I26_and_US74,AshevilleNC,CharlotteNC,126,IT,
AshevilleNC_tofrom_CharlotteNC_on_I40_and_US321,AshevilleNC,CharlotteNC,130,IT,
AshevilleNC_tofrom_AthensGA_on_I26_and_I85,AshevilleNC,AthensGA,158,IT,
